dem_no,dem_str,dem_kind,dem_judgement,dem_title,dem_note,dem_subject,dem_jomun
167651,"조심2017관0192","심판","취소"," 원산지증명서의 일부 내용에 대한 수정이 원산지증명서의 유효기간이 경과한 이후에 이루어졌다는 이유로 협정관세 적용을 배제한 처분의 당부 등"," 한-아세안 FTA 원산지증명 운영절차 제10조에서 원산지증명서 재발급의 경우 본래 발급된 원산지증명서를 발급한 날부터 12개월 이내에 제출하도록 규정하고 있으나, 이는 특혜관세대우 신청 목적상 제출기한을 의미하는 것으로 보이고, 경정청구제도의 취지 및 부과제척기간과의 형평 등에 비추어 볼 때 원산지증명서가 최초 발급일부터 12개월이 경과하여 수정되었다는 이유로 협정관세 적용을 배제하고 관세 등을 과세한 이 건 처분은 잘못이라고 판단됨"," FTA, 아세안, 원산지증명서, 수정기한"," 「자유무역협정의 이행을 위한 관세법의 특례에 관한 법률」 제10조"
167649,"조심2018부2472","심판","기각","청구법인에게 소득금액변동통지한 후 원천징수분 근로소득세를 부과한 처분의 당부","청구법인은 적법하게 설립등기를 마치고 물적․인적 설비를 갖추어 사업활동을 영위한 것으로 보이는바, 그 법인격을 부인하기 어려운 점, 이 건 소득금액변동통지 당시 청구법인이 폐업상태이었다는 청구주장이 객관적으로 입증된다고 보기 어렵고 심리일 현재까지도 청구법인이 폐업신고를 하지 아니한 점, 처분청이 이 건 소득금액변동통지서를 청구법인의 본점 소재지로 적법하게 송달한 점 등에 비추어 이 건 부과처분은 달리 잘못이 없음"," 법인격, 소득금액변동통지, 사실상 폐업","법인세법 제67조"
167648,"조심2018전3846","심판","기각","쟁점소금이 부가가치세 면제대상인지 여부","청구법인이 쟁점소금 제조의 마지막 공정에서 중국산 정제소금을 일정비율 혼합하고 있는 것으로 확인된 점 등에 비추어 처분청이 쟁점소금을 부가가치세 과세대상으로 보아 부가가치세를 과세한 이 건 처분은 잘못이 없음","소금, 재제, 정제, 가공, 면세, 과세","부가가치세법 제26조"
167647,"조심2018중3724","심판","기각","청구법인이 특수관계법인에 대한 대여금의 이자채권을 임의 포기한 것으로 보아 법인세법상 부당행위계산부인 규정을 적용하여 법인세를 과세한 처분의 당부","청구법인이 특수관계법인인 AA로부터 연 6%의 이자율을 적용하여 쟁점수익권을 취득하면서 청구법인과 AA 간에는 채권채무관계가 성립하게 되었는바, 청구법인은 AA에 대하여 매년 6% 상당의 이자수익이 발생한 것으로 볼 수 있는 점, 조사 당시 청구법인의 대표자는 조사청에 쟁점금액을 AA에 대한 대여금의 이자채권으로서 임의 포기하였음을 스스로 인정하는 내용의 확인서를 작성․제출한 점 등에 비추어 청구법인이 특수관계법인에 대한 대여금의 이자채권을 임의 포기한 것으로 보아 법인세법 제52조 제1항의 부당행위계산부인 규정을 적용하여 법인세를 과세한 처분은 잘못이 없는 것으로 판단됨"," 채권 임의 포기, 이자채권, 특수관계법인 대여금","법인세법 제52조"
167646,"조심2018중4262","심판","기각","병원 구내식당에서 의사 등 직원에게 제공한 음식용역 관련 수입금액이 부가가치세 면제대상인지 여부","청구법인이 쟁점용역을 환자 등 의료보건용역을 공급받는 자에게 제공한 것이 아니므로 이를 면세되는 용역에 부수되는 것으로 볼 수 없는 점 등에 비추어 처분청이 청구법인의 경정청구를 거부한 이 건 처분은 잘못이 없음","병원, 구내식당, 의사, 환자, 음식, 면세, 과세","부가가치세법 제11조 / 부가가치세법 제14조 / 부가가치세법 제26조 / 조세특례제한법 제106조"
167640,"조심2018중4286","심판","기각","쟁점세금계산서를 실지거래 없이 수수한 가공세금계산서로 보아 부가가치세를 과세한 처분의 당부","청구법인은 매입․매출거래처와의 실지거래를 입증할 만한 물품거래계약서나 거래명세서, 운송장, 거래대금 지급 관련 금융증빙 등 객관적이고 구체적인 증빙자료를 제출하지 못하는 점 등에 비추어 처분청이 쟁점세금계산서상의 거래를 가공거래로 보아 과세한 이 건 처분은 잘못이 없음","가공, 사실과, 다른, 세금계산서","부가가치세법 제32조 / 부가가치세법 제39조"
167639,"조심2018중4301","심판","기각","청구법인이 조특법 제63조에 따른 수도권과밀억제권역 밖으로 이전하는 중소기업에 대한 세액감면대상인지 여부","청구법인은 수도권과밀억제권역 안에서 약 9개월간 사업을 영위하다가 본점을 이전하였으므로 조특법 제63조 및 같은 법 시행령 제60조 제1항에 따른 세액감면 요건을 충족하지 못하였다 할 것인 점, 청구법인은 개인사업자로부터의 현물출자 사실이 없고, 법인 설립 당시 자본금이 개인사업자의 순자산가액 이상의 금액에 해당하지 아니하므로 청구법인은 조특법 제32조의 규정에 따라 개인사업자에서 법인으로 전환한 경우라고 보기도 어려운 점 등에 비추어 처분청이 청구법인을 수도권과밀억제권역 안에서 2년 이상 계속 사업을 영위한 중소기업에 해당하지 아니하는 것으로 보아 청구법인의 경정청구를 거부한 처분은 잘못이 없음"," 지방이전감면, 계속사업, 법인전환","조세특례제한법 제63조"
167638,"조심2018부3053","심판","기각","청구인으로부터 ○○○에게 명의이전된 쟁점주식이 명의신탁된 것으로 보아 명의신탁재산 증여의제규정을 적용하여 증여세(연대납세의무)를 부과한 이 건 처분은 부당하다는 청구주장의 당부"," 청구인은 쟁점주식이 ○○○ 명의로 이전된 사실을 알게 되었음에도 불구하고 진명건설에 내용증명을 보내면서 명의도용에 따른 권리를 주장하지 아니한 채 명의이전에 따른 보상을 요청한 점 등에 비추어 청구인은 쟁점주식이 ○○○에게 명의신탁되는 사실을 알았거나 적어도 묵시적으로 수인한 것으로 볼 수 있다 하겠음 따라서, 청구인이 ○○○에게 쟁점주식을 명의신탁한 것으로 보아 청구인을 ○○○에 대한 증여세 연대납세의무자로 지정․납부통지한 이 건 처분은 달리 잘못이 없음
"," 명의신탁, 증여의제","상속세 및 증여세법 제4조의2 / 상속세 및 증여세법 제45조의2"
167505,"조심2018중3746","심판","취소"," 쟁점부동산은 실제 청구인 등 개인(명의자)이 아닌 쟁점단체(비영리민간단체)의 자산이므로 청구인에게 쟁점부동산 양도에 따른 양도소득세를 과세한 처분은 부당하다는 청구주장의 당부"," 쟁점토지 취득 당시 비영리단체 미등록 및 금융기관 대출 등을 이유로 부득이 쟁점단체가 아닌 개인(공동)명의로 등기하였다는 청구주장에 수긍이 가는 점, 「국세기본법」제14조 제1항에는 과세의 대상이 되는 소득, 수익, 재산, 행위 또는 거래의 귀속이 명의(名義)일 뿐이고 사실상 귀속되는 자가 따로 있을 때에는 사실상 귀속되는 자를 납세의무자로 하여 세법을 적용하도록 규정하고 있는 점 등에 비추어 처분청이 쟁점부동산을 쟁점단체가 아닌 청구인 등 개인(명의자)의 재산으로 보아 청구인에게 쟁점부동산 양도에 따른 양도소득세를 과세한 처분은 잘못이 있음
"," 실소유자, 비영리단체, 비과세","법인세법 제3조 / 법인세법 시행령제2조"
167504,"조심2018서4254","심판","기각","쟁점분배금이「법인세법」제18조의3 제1항에 따른 수입배당금 익금불산입 규정의 적용대상인지 여부 등"," 「법인세법」제18조의3 제1항에 따른 수입배당금의 익금불산입 규정은 해당 법인이 다른 내국법인에 직접 출자한 경우를 전제로 하여 규정하고 있는 점, 투자신탁 외의 신탁을 도관으로 보아 그 이익의 분배금의 원천이 배당인 경우 신탁에 따른 수익권자가 해당 배당금을 지급한 다른 내국법인에게 직접 출자하는 법률행위를 하였던 것으로 의제하기는 어려운 점,「법인세법」제5조 제1항 및 같은 법 제18조의3 제1항의 입법목적이 신탁의 이익에 대한 분배금까지 수입배당금 익금불산입 적용대상에 포함하려 한 것으로 보이지 아니하는 점 등에 비추어 쟁점분배금에 대하여 수입배당금 익금불산입 규정을 적용하여야 한다는 청구주장을 받아들이기는 어려움
"," 수입배당금, 분배금, 익금불산입, 신탁","법인세법 제5조 / 법인세법 제18조의3 / 법인세법 시행령제70조 / 법인세법 시행령제111조"
